Winery,Wine name,Vintage,Region,Country,Regional wine style,Average rating,Scan date,Scan Location,Your rating,Your price,Your review,Personal note,Wine type,Drinking window,Food pairing,Link to wine,Label image,Bottles in cellar
Château Kefraya,Red,2012,Bekaa Valley,Lebanon,,3.9,2018-11-03 22:10,"",3.5,Unknown,"Fruktig nese med røde bær. Tydelig tanninstruktur, tobakk, lær, eik på kroppen.

Ganske god, men lite mind blown.

84p","",Red Wine,"","Beef, Lamb, Spicy food, Mature and hard cheese, Poultry",https://www.vivino.com/wines/3394440,https://images.vivino.com/labels/RVaI_DPsRiypGtyRdrZdoA.jpg,2
Bodegas Roda,Roda Reserva Rioja,2012,Rioja,Spain,Spanish Rioja Red,4.2,2018-11-03 08:08,"",Not given,Unknown,"","",Red Wine,"","Beef, Lamb, Veal, Poultry",https://www.vivino.com/wines/1431923,https://images.vivino.com/labels/K070eWLhT3ifghLsHJzaGQ.jpg,1
Château Musar,Rouge (Gaston Hochar),2009,Bekaa Valley,Lebanon,,4.2,2018-10-21 07:07,"",4.0,Unknown,"Magnum til pasta med kraftig tomatsaus med lungemos.

Veldig god. Mørke frukter, lær. Fortsatt tydelig tanninsstruktur.

Kunne lagret lenger, men fungerte bra. Fikk to timer luft.

90p","",Red Wine,"","Beef, Lamb, Spicy food, Mature and hard cheese, Poultry",https://www.vivino.com/wines/1423439,https://images.vivino.com/labels/wRlUfIWYSv2PbNNUxaeoNw.jpg,2
Borgogno,Langhe Rosso Pinin,2015,Langhe,Italy,Northern Italy Red,4.0,2018-10-20 17:05,"",4.0,Unknown,"Drukket til hvit pizza og mozarellasalat. Tålte pizzaen veldig godt!

Starter stramt med lite primærfrukt og mye tanniner med skinn og lær. Åpner seg veldig fint i løpet av et par timer, og byr på mørke frukter og steinfrukt. Plomme, mørke kirsebær, krydder (usikker på hva… litt pepper?). Fortsatt tight tanninstruktur, men balanserer mye bedre etter luftingen. Går fortsatt over i skinn og lær, men det fremstår som mye mer intregrert.

Litt alkoholstikk i nesa, men ikke plagsomt.

Godt kjøp, 88p","",Red Wine,"","Beef, Pasta, Lamb, Game (deer, venison)",https://www.vivino.com/wines/154415898,https://images.vivino.com/labels/Qw398Cv6TCqeZpmmSpilIg.jpg,3
Casa Ferreirinha,Vinha Grande Douro,2015,Douro,Portugal,Portuguese Douro Red,3.9,2018-10-14 14:02,"",Not given,Unknown,"","",Red Wine,"","Beef, Pasta, Lamb, Game (deer, venison)",https://www.vivino.com/wines/23114341,https://images.vivino.com/labels/YOWParJ1SIiDMrLRzBbvug.jpg,1
Chavy-Chouet,Les Femelottes Bourgogne Blanc,2016,Bourgogne,France,Burgundy White,3.8,2018-10-05 16:04,"",Not given,Unknown,"","",White Wine,"","Pasta, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese, Cured Meat",https://www.vivino.com/wines/153406811,https://images.vivino.com/labels/ph844jXoSoahB7V5SNJR0w.jpg,2
La Ca' Növa,Montestefano Barbaresco,2015,Barbaresco,Italy,Italian Barbaresco,4.0,2018-09-22 06:06,"",Not given,Unknown,"","",Red Wine,"","Beef, Pasta, Lamb, Game (deer, venison)",https://www.vivino.com/wines/23487055,https://images.vivino.com/labels/ATw82vfqTRC5Ae3Yy7Q6zw.jpg,3
Faiveley,Mercurey 1er Cru Clos des Myglands,2016,Mercurey,France,Burgundy Côte Chalonnaise Red,4.1,2018-09-22 06:06,"",4.5,Unknown,"Veldig bra QPR for en Burgund!

Nese med røde bær. Bringebær fremtredende. En del bjørnebær.

Fruktig og ren kropp. Bringebær, bjørnebær. En del tanniner rett fra flaska, men jevnet seg ut fort. Optimal på en snau time luft.

Drukket til risotto med sopp og parmesan. Funka fjell!

90p","",Red Wine,"","Beef, Veal, Game (deer, venison), Poultry",https://www.vivino.com/wines/146440779,https://images.vivino.com/labels/7C2hQAWIRlix-3RwbqZb-A.jpg,2
Markus Molitor,Zeltinger Sonnenuhr Riesling Auslese ** White Capsule Trocken,2016,Mosel,Germany,German Riesling,3.9,2018-09-15 13:01,"",Not given,Unknown,"","",White Wine,"","Pork, Shellfish, Spicy food, Poultry, Cured Meat",https://www.vivino.com/wines/159074382,https://images.vivino.com/labels/QIPJW8hLRZC2KLQqToCMbA.jpg,3
Domaine Zind Humbrecht,Riesling Alsace Grand Cru  Brand,2016,Alsace Grand Cru,France,Alsace Riesling,4.3,2018-09-15 13:01,"",Not given,Unknown,"","",White Wine,"","Pork, Rich fish (salmon, tuna etc), Spicy food, Vegetarian, Cured Meat",https://www.vivino.com/wines/153380588,https://images.vivino.com/labels/9ZmIxJxYSjuxNcW9HEv2hA.jpg,2
Benjamin Leroux,Bourgogne Blanc,2015,Bourgogne,France,Burgundy White,4.0,2018-08-18 20:08,"",3.5,Unknown,"Ananas og røde epler på nesa. Hint av vanilje. Bra med syre og litt sødme. Tydelig smørpreg, men balanseres fint av syren. 

Hyggelig følge til vegetarpasta med bønner, sukkererter og eggeplomme- og parmesandaus.

Drikker bra nå, men tåler definivt lagring.

Oppdatering: drakk en ny flaske 19.01. Fremstår som ganske ukonsentrert. Ser ikke at det blir noe bedre av lagring - så da har jeg hvertfall lært litt! 

86p","",White Wine,"","Pasta, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese, Cured Meat",https://www.vivino.com/wines/37941144,https://images.vivino.com/labels/kTqx-JvqSGOq6faA9e10TQ.jpg,1
Château Musar,Rouge (Gaston Hochar),2010,Bekaa Valley,Lebanon,,4.2,2018-08-01 16:04,"",Not given,Unknown,"","",Red Wine,"","Beef, Lamb, Spicy food, Mature and hard cheese, Poultry",https://www.vivino.com/wines/1398575,https://images.vivino.com/labels/armdd1_6R3iqs3aYRhAlnA.jpg,4
Cantine Pellegrino,Garibaldi Marsala Superiore Dolce,,Marsala,Italy,,3.6,2018-07-28 14:02,"",Not given,Unknown,"","",Fortified Wine,"","",https://www.vivino.com/wines/1477337,https://images.vivino.com/labels/ise9GhOtRymf3RXqzKLTXg.jpg,1
Domaine Zind Humbrecht,Riesling Alsace Grand Cru  Brand,2014,Alsace Grand Cru,France,Alsace Riesling,4.2,2018-07-26 20:08,"",4.0,Unknown,"Tørr og mye syre! Lukt av sitron og grønne epler. Sitron(skall), gauksyre, skall av grønne epler i kroppen. Masse syre.

Ganske lang, men mangler en del på 2015. Tipper den kommer til å lagre veldig fint.

88p","",White Wine,"","Pork, Rich fish (salmon, tuna etc), Spicy food, Vegetarian, Cured Meat",https://www.vivino.com/wines/70087748,https://images.vivino.com/labels/Z6ukTDFhRQur4ILq9C5I6w.jpg,4
Sarnin Berrux,Meursault Blagny 1er Cru,2012,Meursault 1er Cru 'Blagny',France,Burgundy White,4.1,2018-07-21 18:06,"",Not given,Unknown,"","",White Wine,"","Pasta, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese, Cured Meat",https://www.vivino.com/wines/4623022,https://images.vivino.com/labels/rgx0aI1cRr2dbyTOutX-2g.jpg,1
Quinta do Portal,Reserva Branco,2015,Douro,Portugal,,0.0,2018-07-17 22:10,"",Not given,Unknown,"","",White Wine,"","",https://www.vivino.com/wines/157807960,https://images.vivino.com/labels/7ZiihaexQP2rvhn4pcAmOw.jpg,1
Nyetimber,Classic Cuvee Brut,N.V.,Sussex,United Kingdom,English Sparkling,4.1,2018-07-13 12:12,"",Not given,Unknown,"","",Sparkling,"","Shellfish, Appetizers and snacks, Lean fish, Aperitif",https://www.vivino.com/wines/2141018,https://images.vivino.com/labels/9k9wFcyQT8i8x92Hh0pEdg.jpg,2
Fèlsina,Berardenga Chianti Classico Riserva,2015,Chianti Classico,Italy,Italian Chianti,3.9,2018-07-13 12:12,"",Not given,Unknown,"","",Red Wine,"","Beef, Veal, Poultry",https://www.vivino.com/wines/97302007,https://images.vivino.com/labels/LM7SREwWSR2P4wanh6xCVQ.jpg,2
Churchill's,Vintage Port,2011,Vintage Port,Portugal,Portuguese Port,4.5,2018-07-13 12:12,"",Not given,Unknown,"","",Fortified Wine,"","Beef, Sweet desserts, Blue cheese",https://www.vivino.com/wines/1226203,https://images.vivino.com/labels/FHl73PqbQkGmBgQuaFPmXg.jpg,2
Domaine Zind Humbrecht,Riesling Alsace Grand Cru  Brand,2015,Alsace Grand Cru,France,Alsace Riesling,4.4,2018-07-13 10:10,"",Not given,Unknown,"","",White Wine,"","Pork, Rich fish (salmon, tuna etc), Spicy food, Vegetarian, Cured Meat",https://www.vivino.com/wines/152161427,https://images.vivino.com/labels/XBkV9MrqRbeC2W6S50sjMw.jpg,13
Quinta do Portal,Portal Moscatel do Douro,1996,Douro,Portugal,Portuguese Moscatel,4.3,2018-07-13 10:10,"",Not given,Unknown,"","",Dessert Wine,"","Sweet desserts, Blue cheese",https://www.vivino.com/wines/4242535,https://images.vivino.com/labels/Rwa_JFGzQLW3-O_UtH2HQQ.jpg,1
Sandeman,Quinta do Vau Vintage Porto,2001,Vintage Port,Portugal,Portuguese Port,4.2,2018-07-13 10:10,"",Not given,Unknown,"","",Fortified Wine,"","Beef, Sweet desserts, Blue cheese",https://www.vivino.com/wines/1460064,https://images.vivino.com/labels/loEHzixSS4iJn9-ot3mFbQ.jpg,1
Quinta Nova,Douro Grande Reserva Referéncia,2015,Douro,Portugal,Portuguese Douro Red,4.3,2018-07-13 10:10,"",Not given,Unknown,"","",Red Wine,"","Beef, Pasta, Lamb, Game (deer, venison)",https://www.vivino.com/wines/55995362,https://images.vivino.com/labels/NsaFf4vnSrSTElzyJ6cA-A.jpg,1
Quinta do Crasto,Reserva Old Vines,2015,Douro,Portugal,Portuguese Douro Red,4.3,2018-07-13 10:10,"",Not given,Unknown,"","",Red Wine,"","Beef, Pasta, Lamb, Game (deer, venison)",https://www.vivino.com/wines/14207586,https://images.vivino.com/labels/b3TwTLOKSRaG9fDhLZd2DQ.jpg,2
Quinta de La Rosa,Tim Grande Reserva White,2015,Douro,Portugal,Northern Portugal White,4.2,2018-07-13 10:10,"",Not given,Unknown,"","",White Wine,"","Shellfish, Appetizers and snacks, Lean fish, Cured Meat",https://www.vivino.com/wines/156962602,https://images.vivino.com/labels/EPe1re2tTSywtIPC9i6NdQ.jpg,2
Pacheca,Vintage Port,2000,Vintage Port,Portugal,Portuguese Port,4.5,2018-07-13 09:09,"",Not given,Unknown,"","",Fortified Wine,"","Beef, Sweet desserts, Blue cheese",https://www.vivino.com/wines/2560041,https://images.vivino.com/labels/KIbtdkAMS6icX0sHVSkH1A.jpg,1
Reynolds Wine Growers,Gloria Reynolds Art & Tradition Branco,2016,Alentejano,Portugal,Southern Portugal White,4.1,2018-07-09 01:01,"",4.5,Unknown,"Drukket på Yeatman, Porto.

Smør, salt, eik. Bra potensiale og god eik. Kjøpte med to flasker.

91p","",White Wine,"","Pasta, Pork, Shellfish, Lean fish",https://www.vivino.com/wines/153317235,"",2
Domaine Borgeot,Santenay 1er Cru 'Les Beauregards',,Santenay Premier Cru,France,Burgundy Côte de Beaune Red,3.7,2018-06-21 16:04,"",Not given,Unknown,"","",Red Wine,"","Beef, Veal, Game (deer, venison), Poultry",https://www.vivino.com/wines/2148926,https://images.vivino.com/labels/BnEuFz35Rr6eP35t_q-Azg.jpg,3
Il Falchetto,Brachetto d'Acqui,2016,Brachetto d'Acqui,Italy,,3.9,2018-04-29 09:09,"",Not given,Unknown,"","",Dessert Wine,"","",https://www.vivino.com/wines/142731545,https://images.vivino.com/labels/KXN5GW_NRv6ODWzQkexcZQ.jpg,1
Conterno Fantino,Nebbiolo Langhe Ginestrino,2015,Langhe,Italy,Italian Nebbiolo,3.6,2018-04-29 09:09,"",Not given,Unknown,"","",Red Wine,"","Beef, Lamb, Game (deer, venison), Poultry",https://www.vivino.com/wines/14186020,https://images.vivino.com/labels/eTFBcNUGRKyGH1qQod631g.jpg,1
Torres,Gran Coronas Reserva Cabernet Sauvignon,2011,Penedès,Spain,Spanish Cabernet Sauvignon,3.7,2018-04-29 09:09,"",Not given,Unknown,"","",Red Wine,"","Beef, Lamb, Poultry",https://www.vivino.com/wines/16487943,https://images.vivino.com/labels/WZLtiCMSTmib30nAjyf0BQ.jpg,1
Chanson,Santenay,2011,Santenay,France,Burgundy Côte de Beaune Red,3.5,2018-04-29 09:09,"",Not given,Unknown,"","",Red Wine,"","Beef, Veal, Game (deer, venison), Poultry",https://www.vivino.com/wines/2918245,https://images.vivino.com/labels/z4nWf6jdSyq-5Howv5LDlQ.jpg,1
Herve Souhaut,Sainte Epine,2016,Saint-Joseph,France,Northern Rhône Saint-Joseph,3.8,2018-04-29 09:09,"",Not given,Unknown,"","",Red Wine,"","Beef, Lamb, Game (deer, venison), Poultry",https://www.vivino.com/wines/144885851,https://images.vivino.com/labels/NAy9jJ3NQeqMRFZHFns5WQ.jpg,1
E. Guigal,Crozes-Hermitage Rouge,2011,Crozes-Hermitage,France,Northern Rhône Crozes-Hermitage,3.6,2018-04-29 08:08,"",Not given,Unknown,"","",Red Wine,"","Beef, Lamb, Game (deer, venison), Poultry",https://www.vivino.com/wines/1763698,https://images.vivino.com/labels/3uElAljUSl2Hv9j0OI8TxQ.jpg,1
Rivella Silvia,Langhe Nebbiolo,2014,Langhe,Italy,Italian Nebbiolo,3.8,2018-04-29 08:08,"",Not given,Unknown,"","",Red Wine,"","Beef, Lamb, Game (deer, venison), Poultry",https://www.vivino.com/wines/146700405,https://images.vivino.com/labels/PWSNJEX5Tdar2LvY5IU1sg.jpg,1
Lacerta,Cabernet Sauvignon,2014,Dealu Mare,Romania,,3.8,2018-04-29 08:08,"",Not given,Unknown,"","",Red Wine,"","Beef, Lamb, Spicy food, Poultry",https://www.vivino.com/wines/22932137,https://images.vivino.com/labels/yuScAOldSsm_cevxW1lsDw.jpg,1
Masi,Campofiorin Rosso Veronese,2013,Rosso Veronese,Italy,Northern Italy Red,3.7,2018-04-29 08:08,"",Not given,Unknown,"","",Red Wine,"","Beef, Pasta, Lamb, Game (deer, venison)",https://www.vivino.com/wines/2071419,https://images.vivino.com/labels/76H3Erk_RgWOKwj_q9f_wQ.jpg,1
Wongraven,Alleanza Langhe Rosso,2011,Langhe,Italy,Northern Italy Red,3.6,2018-04-29 08:08,"",Not given,Unknown,"","",Red Wine,"","Beef, Pasta, Lamb, Game (deer, venison)",https://www.vivino.com/wines/1838658,https://images.vivino.com/labels/bKQJG08ZQhCDXpxSeFSnDQ.jpg,1
Château Musar,Rouge (Gaston Hochar),2004,Bekaa Valley,Lebanon,,4.2,2018-04-29 08:08,"",Not given,Unknown,"","",Red Wine,"","Beef, Lamb, Spicy food, Mature and hard cheese, Poultry",https://www.vivino.com/wines/1276543,https://images.vivino.com/labels/lVyeeKydQOK2sQZhkTRAgQ.jpg,1
Gérard Bertrand,Domaine De Cigalus Red,2015,Vin de Pays,France,Languedoc-Roussillon Red,4.2,2018-04-29 08:08,"",Not given,Unknown,"","",Red Wine,"","Beef, Pasta, Veal",https://www.vivino.com/wines/36601952,https://images.vivino.com/labels/9-B_0_v4TpWN8Fh6hvUBdg.jpg,1
Château de Ricaud,Grand Vin du Château de Ricaud,2011,Bordeaux,France,Bordeaux Red,3.6,2018-04-29 08:08,"",Not given,Unknown,"","",Red Wine,"","Beef, Veal, Game (deer, venison), Poultry",https://www.vivino.com/wines/12738639,https://images.vivino.com/labels/r6-RnGvgSOOy4euMrlh3pQ.jpg,1
Château La Nerthe,Châteauneuf-du-Pape,2013,Châteauneuf-du-Pape,France,Southern Rhône Châteauneuf-du-Pape Red,4.2,2018-04-29 08:08,"",Not given,Unknown,"","",Red Wine,"","Lamb, Pork, Poultry",https://www.vivino.com/wines/3750815,https://images.vivino.com/labels/spSReUPDQem8fTfTY3uHJg.jpg,1
Château Dudon,Bordeaux,2008,Bordeaux,France,Bordeaux Red,3.7,2018-04-29 08:08,"",Not given,Unknown,"","",Red Wine,"","Beef, Veal, Game (deer, venison), Poultry",https://www.vivino.com/wines/8930612,https://images.vivino.com/labels/LdhYgpzDRByp8bXJl2_EjA.jpg,1
Alira,Rosè,2016,Murfatlar,Romania,,3.5,2018-04-29 08:08,"",Not given,Unknown,"","",Rosé Wine,"","Beef, Lamb, Game (deer, venison), Spicy food, Poultry",https://www.vivino.com/wines/146635168,https://images.vivino.com/labels/HlnZSv9CQXmOL6o6WYecFQ.jpg,2
Clos des Brusquieres,Châteauneuf-du-Pape,2012,Châteauneuf-du-Pape,France,Southern Rhône Châteauneuf-du-Pape Red,4.2,2018-04-29 08:08,"",Not given,Unknown,"","",Red Wine,"","Lamb, Pork, Poultry",https://www.vivino.com/wines/2182972,https://images.vivino.com/labels/YtGt5i51Ro6eGLM-WTO6vA.jpg,1
Château Musar,Aana,2013,Bekaa Valley,Lebanon,,3.9,2018-04-29 08:08,"",4.0,Unknown,"Red cherry, plum, leather, earthy.

Has aged well, and still shows good potential. Is starting to show how much of a good purchase this is.

Should keep at least five more years. 

88p, highly enjoyable","",Red Wine,"","Beef, Lamb, Spicy food, Mature and hard cheese, Poultry",https://www.vivino.com/wines/146690593,https://images.vivino.com/labels/f34uLBA3RbmICVJsixgOdQ.jpg,2
Produttori del Barbaresco,Barbaresco,2014,Barbaresco,Italy,Italian Barbaresco,3.9,2018-04-29 08:08,"",Not given,Unknown,"","",Red Wine,"","Beef, Pasta, Lamb, Game (deer, venison)",https://www.vivino.com/wines/5620826,https://images.vivino.com/labels/97kG7i0PRXyedlhXk16xcw.jpg,2
Penfolds,St. Henri Shiraz,2008,South Australia,Australia,Australian Shiraz,4.4,2018-04-29 08:08,"",Not given,Unknown,"","",Red Wine,"","Beef, Lamb, Game (deer, venison), Poultry",https://www.vivino.com/wines/1175945,https://images.vivino.com/labels/0HMhqX8XRw-AwY0wY57gUQ.jpg,1
