Winery,Wine name,Vintage,Region,Country,Regional wine style,Average rating,Scan date,Scan Location,Your rating,Your price,Your review,Personal note,Wine type,Drinking window,Food pairing,Link to wine,Label image,Bottles in cellar
Comm. G.B. Burlotto,Barolo,2015,Barolo,Italy,Italian Barolo,4.2,2019-06-10 20:08,"",Not given,Unknown,"","",Red Wine,"","Beef, Pasta, Lamb, Game (deer, venison)",https://www.vivino.com/wines/20189168,https://images.vivino.com/labels/JVwObJomTBiHoKCr7ykI5Q.jpg,2
Griesel & Compagnie,Chardonnay Brut Nature,2013,Hessische Bergstrasse,Germany,,4.0,2019-06-10 20:08,"",Not given,Unknown,"","",Sparkling,"","Pork, Rich fish (salmon, tuna etc), Vegetarian, Poultry",https://www.vivino.com/wines/157975374,https://images.vivino.com/labels/OLV9G9b4Queia59giYpcpw.jpg,1
Bodega Garzón,Reserva Tannat,2016,Maldonado,Uruguay,Uruguay Tannat,4.0,2019-06-05 15:03,"",Not given,Unknown,"","",Red Wine,"","Beef, Lamb, Game (deer, venison)",https://www.vivino.com/wines/104422323,https://images.vivino.com/labels/3oTXe8mZSH-f4fIN_sp6tQ.jpg,1
Domaine du Pelican,Trois Cepages Arbois,2015,Arbois,France,,3.9,2019-06-05 15:03,"",Not given,Unknown,"","",Red Wine,"","Veal, Pork, Game (deer, venison), Rich fish (salmon, tuna etc), Poultry",https://www.vivino.com/wines/28970606,https://images.vivino.com/labels/f7bSxJ5hTXmxbAmC6ZYljg.jpg,1
Domaine Mathieu & Camille Lapierre,Château Cambon Beaujolais,2018,Beaujolais,France,Beaujolais Red,3.8,2019-06-04 16:04,"",Not given,Unknown,"","",Red Wine,"","Pasta, Veal, Pork, Poultry",https://www.vivino.com/wines/156656686,https://images.vivino.com/labels/vDRcO2mPSxuDGUN7slnmIA.jpg,1
Gaia,Assyrtiko by Gaia Wild Ferment,2018,Santorini,Greece,Santorini White,3.9,2019-05-22 20:08,"",Not given,Unknown,"","",White Wine,"","Shellfish, Lean fish",https://www.vivino.com/wines/156189868,"",1
Dog Point,Section 94 Sauvignon Blanc,2016,Marlborough,New Zealand,New Zealand Sauvignon Blanc,3.9,2019-05-10 20:08,"",Not given,Unknown,"","",White Wine,"","Shellfish, Vegetarian, Goat cheese",https://www.vivino.com/wines/114053762,https://images.vivino.com/labels/2Yk247DAS6GlbA-8w2FGbg.jpg,1
Lustau,Palo Cortado de Jerez Almacenista 'Cayetano del Pino y Cía' Sherry,N.V.,Jerez-Xérès-Sherry,Spain,Spanish Sherry,4.0,2019-05-10 20:08,"",Not given,Unknown,"","",Fortified Wine,"","Sweet desserts, Mature and hard cheese, Appetizers and snacks, Aperitif, Cured Meat",https://www.vivino.com/wines/157548281,https://images.vivino.com/labels/XLyVvpXmTSWKTAaBvqdUbQ.jpg,1
Lustau,Manzanilla Pasada de Sanlúcar Almacenista Manuel Cuevas Jurado,N.V.,Manzanilla,Spain,Spanish Sherry,3.7,2019-05-10 20:08,"",Not given,Unknown,"","",Fortified Wine,"","Sweet desserts, Mature and hard cheese, Appetizers and snacks, Aperitif, Cured Meat",https://www.vivino.com/wines/2834273,https://images.vivino.com/labels/FoYzUiyhREWEQJQcT-n4Zg.jpg,1
Lustau,Almacenista Amontillado del Castillo,N.V.,Amontillado Sherry,Spain,Spanish Sherry,4.1,2019-05-10 20:08,"",Not given,Unknown,"","",Fortified Wine,"","Sweet desserts, Mature and hard cheese, Appetizers and snacks, Aperitif, Cured Meat",https://www.vivino.com/wines/158586293,https://images.vivino.com/labels/jRce7IkwS8yNkPbS0gmy8w.jpg,1
